run_id,pair_id,embryo_id,set_type,set_rank,genotype,bin_src_hpf,bin_tgt_hpf,rmse_velocity,cosine_similarity,rmse_mass_created,rmse_mass_destroyed
phase2_24_48_ott_v1,20251212_B06_e01__30to32,20251212_B06_e01,heldout_wt,2,cep290_wildtype,30.0,32.0,30.837914833518987,0.2976433657015641,0.18369704823031216,0.00013945114022576773
phase2_24_48_ott_v1,20251212_B06_e01__32to34,20251212_B06_e01,heldout_wt,2,cep290_wildtype,32.0,34.0,48.04500283657176,0.6175592553522916,0.23807041380721242,0.0003595823477230743
phase2_24_48_ott_v1,20251212_B06_e01__34to36,20251212_B06_e01,heldout_wt,2,cep290_wildtype,34.0,36.0,28.23469063760961,0.5255897867630279,0.3378248804461674,0.00027930544315364034
phase2_24_48_ott_v1,20251212_B06_e01__36to38,20251212_B06_e01,heldout_wt,2,cep290_wildtype,36.0,38.0,45.821722165080345,-0.7665352700120752,0.056328482813122596,0.0005687800219555892
phase2_24_48_ott_v1,20251212_B06_e01__38to40,20251212_B06_e01,heldout_wt,2,cep290_wildtype,38.0,40.0,53.973539400572896,0.6580283872076941,0.38153780013803024,0.0005423423530880115
phase2_24_48_ott_v1,20251212_B06_e01__40to42,20251212_B06_e01,heldout_wt,2,cep290_wildtype,40.0,42.0,21.70512886454089,0.4285787234060987,0.10085630484229331,0.0002768188490022951
phase2_24_48_ott_v1,20251212_B06_e01__42to44,20251212_B06_e01,heldout_wt,2,cep290_wildtype,42.0,44.0,156.4092072174238,-0.4754865580861971,0.017217672321726114,0.0030427206493945104
phase2_24_48_ott_v1,20251212_B06_e01__44to46,20251212_B06_e01,heldout_wt,2,cep290_wildtype,44.0,46.0,143.01284337126046,0.015909389158528707,0.1043112110303717,0.0028775766129240914
phase2_24_48_ott_v1,20251212_B06_e01__46to48,20251212_B06_e01,heldout_wt,2,cep290_wildtype,46.0,48.0,302.6690568627737,0.18716975817992318,0.05637632479195672,0.006562784339288025
phase2_24_48_ott_v1,20250512_D08_e01__24to26,20250512_D08_e01,mutant,17,cep290_homozygous,24.0,26.0,57.473812419871166,-0.010684084772178522,0.0940969098602334,0.0005145944608977144
phase2_24_48_ott_v1,20250512_D08_e01__26to28,20250512_D08_e01,mutant,17,cep290_homozygous,26.0,28.0,33.13215992329228,0.300518569492894,0.09563425831385598,0.00014413651304881505
phase2_24_48_ott_v1,20250512_D08_e01__28to30,20250512_D08_e01,mutant,17,cep290_homozygous,28.0,30.0,31.064793037593326,0.22352740455040462,0.1142931188110888,0.0002182902134835813
phase2_24_48_ott_v1,20250512_D08_e01__30to32,20250512_D08_e01,mutant,17,cep290_homozygous,30.0,32.0,26.037079009462612,0.3315804088537541,0.08654263204873268,0.00017224508130370283
phase2_24_48_ott_v1,20250512_D08_e01__32to34,20250512_D08_e01,mutant,17,cep290_homozygous,32.0,34.0,44.44731839167148,0.44406514813680753,0.23807041380721242,0.0003647044213773755
phase2_24_48_ott_v1,20250512_D08_e01__34to36,20250512_D08_e01,mutant,17,cep290_homozygous,34.0,36.0,18.294218358565722,0.31141403237390064,0.09118606751265033,0.00013222805100042808
phase2_24_48_ott_v1,20250512_D08_e01__36to38,20250512_D08_e01,mutant,17,cep290_homozygous,36.0,38.0,30.536420528423164,-0.5790882957175314,0.056328482813122596,0.0003347895178376351
phase2_24_48_ott_v1,20250512_D08_e01__38to40,20250512_D08_e01,mutant,17,cep290_homozygous,38.0,40.0,17.03096679872586,0.07640851559523593,0.06626806422821123,0.00013781842704818994
phase2_24_48_ott_v1,20250512_D08_e01__40to42,20250512_D08_e01,mutant,17,cep290_homozygous,40.0,42.0,32.76833889489233,-0.4146729445881787,0.09491496338108636,0.00035096760078860044
phase2_24_48_ott_v1,20250512_D08_e01__42to44,20250512_D08_e01,mutant,17,cep290_homozygous,42.0,44.0,152.83121665473243,-0.5932738076845562,0.07597491577324611,0.003033983536338941
phase2_24_48_ott_v1,20250512_D08_e01__44to46,20250512_D08_e01,mutant,17,cep290_homozygous,44.0,46.0,136.29118175086447,0.16027430571295867,0.05458820527818249,0.002873420318048034
phase2_24_48_ott_v1,20250512_D08_e01__46to48,20250512_D08_e01,mutant,17,cep290_homozygous,46.0,48.0,130.45967860490552,0.1342869303411501,0.054492271119315795,0.0030767259077993667
phase2_24_48_ott_v1,20251112_A10_e01__24to26,20251112_A10_e01,mutant,11,cep290_homozygous,24.0,26.0,52.5807411347245,0.1530276099658287,0.038168550661614134,0.0005143775539522918
phase2_24_48_ott_v1,20251112_A10_e01__26to28,20251112_A10_e01,mutant,11,cep290_homozygous,26.0,28.0,27.561219620012405,0.27774516604997235,0.07989317961095961,0.00012983537971623406
