snip_id,success,error,n_centerline_points,total_length_um,mean_curvature_per_um,std_curvature_per_um,max_curvature_per_um,load_time_ms,cleaning_time_ms,preprocess_time_ms,extraction_time_ms,total_time_ms
20251017_combined_A02_e01_t0064,True,,200,3322.3378448142275,0.0010470607602971376,0.001656527434214388,0.006078153166661255,185.1276659872383,242.48144985176623,120.58275495655835,310.489903902635,858.6817746981978
20250512_E06_e01_t0086,True,,200,2175.529798594081,0.0022425164681837534,0.0013795601442211588,0.005744080162868987,266.79485896602273,168.82493090815842,120.5046959221363,404.56864703446627,960.6931328307837
20251017_combined_C04_e01_t0114,False,Empty centerline returned,0,,,,,,,,,
20251017_combined_F11_e01_t0065,False,Empty centerline returned,0,,,,,,,,,
