method,total_length_um,mean_curvature,max_curvature,area_retention_percent
Gaussian (σ=10),3311.80937739855,0.0004785137053447906,0.0030946778069089547,87.22209242558759
Alpha=20,3423.688830192976,0.0011152827598986464,0.00613018406156301,97.21882155039484
Alpha=30,3423.688830192976,0.0011152827598986464,0.00613018406156301,97.21882155039484
Alpha=40,3423.688830192976,0.0011152827598986464,0.00613018406156301,97.21882155039484
Alpha=50,3423.688830192976,0.0011152827598986464,0.00613018406156301,97.21882155039484
Alpha=60,3426.9910055007376,0.0011194552590364996,0.0060805482457345775,96.6020279426195
Alpha=70,3356.8049595468565,0.0012182664842413178,0.00816949926926569,95.97121629830382
Alpha=80,3407.4380004171558,0.0011938283528232173,0.00758791368887348,95.16938460819588
Alpha=90,3424.4958289431734,0.0011515585275972148,0.0065202676713453644,94.32362973692818
Alpha=100,3426.6319537258178,0.0011685360348378218,0.00688698295769456,93.48722022335406
Alpha=110,3377.2314136844816,0.001175049002580217,0.00707620950539528,92.81435446941731
