timepoint,temp,embryo,well,pheno_note,tag
24,32C,HF4-24-HF4-24hpf-32C_P2_C7,C7,norm,24-32C-C7
36,32C,HF4-36-HF4-36hpf-32C_P12_B3,B3,norm,36-32C-B3
24,34C,HF4-24-HF4-24hpf-34C_P2_E12,E12,severe,24-34C-E12
30,34C,HF4-30-HF4-30hpf-34C_P9_A8,A8,norm,30-34C-A8
24,34C,HF4-24-HF4-24hpf-34C_P2_G9,G9,norm,24-34C-G9
30,32C,HF4-30-HF4-30hpf-32C_P9_A6,A6,severe,30-32C-A6
36,34C,HF4-36-HF4-36hpf-34C_P12_E9,E9,norm,36-34C-E9
30,34C,HF4-30-HF4-30hpf-34C_P9_A9,A9,norm,30-34C-A9
30,32C,HF4-30-HF4-30hpf-32C_P9_B5,B5,norm,30-32C-B5
30,34C,HF4-30-HF4-30hpf-34C_P9_F8,F8,norm,30-34C-F8
36,34C,HF4-36-HF4-36hpf-34C_P12_H10,H10,severe,36-34C-H10
24,34C,HF4-24-HF4-24hpf-34C_P2_E8,E8,norm,24-34C-E8
30,32C,HF4-30-HF4-30hpf-32C_P9_A4,A4,norm,30-32C-A4
24,32C,HF4-24-HF4-24hpf-32C_P2_A4,A4,norm,24-32C-A4
24,32C,HF4-24-HF4-24hpf-32C_P2_A7,A7,norm,24-32C-A7
30,34C,HF4-30-HF4-30hpf-34C_P9_C11,C11,severe,30-34C-C11
30,32C,HF4-30-HF4-30hpf-32C_P9_E7,E7,severe,30-32C-E7
24,34C,HF4-24-HF4-24hpf-34C_P2_D8,D8,norm,24-34C-D8
36,32C,HF4-36-HF4-36hpf-32C_P12_B5,B5,norm,36-32C-B5
36,34C,HF4-36-HF4-36hpf-34C_P12_C9,C9,norm,36-34C-C9
30,34C,HF4-30-HF4-30hpf-34C_P9_G8,G8,norm,30-34C-G8
30,34C,HF4-30-HF4-30hpf-34C_P9_D12,D12,severe,30-34C-D12
24,34C,HF4-24-HF4-24hpf-34C_P2_B10,B10,norm,24-34C-B10
36,32C,HF4-36-HF4-36hpf-32C_P12_G7,G7,severe,36-32C-G7
