snip_id,opening_applied,opening_skipped,solidity_before_opening,area,perimeter,solidity,extent,eccentricity,circularity,perimeter_area_ratio,pca_success,pca_n_points,geodesic_success,geodesic_n_points,mean_distance,max_distance,hausdorff_distance,spline2_was_flipped,both_methods_succeeded
20251017_part1_F04_e01_t0031,False,True,0.6991846133008263,129052.0,2259.2846301849604,0.6991846133008263,0.2653769198658433,0.9756884036025681,3.147511258258627,6.289101126881795,True,200,True,200,27.279500356257145,57.58652334269698,57.58652334269698,False,True
20251017_part1_B07_e01_t0002,False,True,0.6990822240931831,100470.0,2014.628642487245,0.6990822240931831,0.42385787872779357,0.9733498417686319,3.2147243661143876,6.355896302458392,True,200,True,200,18.613777186609234,70.80754497364838,63.20392780846605,False,True
20251017_part1_E09_e01_t0002,False,True,0.8062824905482041,109190.0,2132.1088732276003,0.8062824905482041,0.3639885059770253,0.9864052796651017,3.31303500916059,6.452350407677717,True,200,True,200,28.950849020660645,64.38397337863833,64.38397337863833,True,True
20251017_part1_A11_e01_t0060,False,True,0.6646076234818404,136749.0,2332.383043207296,0.6646076234818404,0.29780742444238284,0.9700449402290824,3.1656706339715415,6.307217328543528,True,200,True,200,25.829554173673156,53.444307393345625,53.40446045222995,True,True
20251017_part1_H02_e01_t0034,False,True,0.6338650074223808,100344.0,2553.0306627407986,0.6338650074223808,0.33907789627346824,0.9942852445233633,5.169050658513477,8.059541320650803,True,200,True,200,26.054329767149554,79.30686035328648,73.18343522326754,True,True
20251017_part1_H06_e01_t0033,False,True,0.7052605404530183,121960.0,2473.2989155348337,0.7052605404530183,0.19574987159732923,0.9907519748861862,3.9914062627743503,7.082195307282676,True,200,True,200,30.77930521581331,75.10403169403726,75.10403169403726,True,True
20251017_part1_F08_e01_t0012,False,True,0.8052712725796116,126918.0,2282.6054813588817,0.8052712725796116,0.23883478702684394,0.9880232920647944,3.266845741660178,6.407214240966416,True,200,True,200,36.24556845649529,89.9514719219462,89.9514719219462,True,True
20251017_part1_C04_e01_t0038,False,True,0.7055361164361891,151631.0,2404.213562373095,0.7055361164361891,0.28282558861766477,0.9717151713200346,3.033529497285927,6.174176538817596,True,200,True,200,34.309415361129396,72.91590357465981,72.91590357465981,True,True
20251017_part1_E02_e01_t0011,False,True,0.7793044985544654,123187.0,2489.169839771699,0.7793044985544654,0.2643095150738836,0.9925054822807976,4.002527435163015,7.092054931005462,True,200,True,200,31.449195436792905,70.30163904074749,70.30163904074749,False,True
20251017_part1_F04_e01_t0010,False,True,0.7245006173034917,91545.0,2159.6824663564075,0.7245006173034917,0.2977373328693299,0.9903758927824399,4.054481394315283,7.137934984993179,True,200,True,200,26.36240997326347,55.255652827764536,55.255652827764536,True,True
20251017_part1_B03_e01_t0023,False,True,0.7361364916273029,128101.0,2276.5567081236027,0.7361364916273029,0.2596080577172503,0.981504243068201,3.2195454601599627,6.360660458014374,True,200,True,200,28.63101888647157,55.16214874514314,55.16214874514314,True,True
20251017_part1_F01_e01_t0011,False,True,0.804957670165933,118852.0,2297.7009357883867,0.804957670165933,0.21300252336984574,0.9915993421737339,3.5348471881226144,6.6648480726175725,True,200,True,200,25.190834809893623,56.6195781870061,56.6195781870061,False,True
20251017_part1_E07_e01_t0000,False,True,0.7652469148082572,115400.0,2181.1484117468904,0.7652469148082572,0.5389073350238399,0.9826984559473291,3.2806111881389803,6.420699029838388,True,200,True,200,20.85801034777455,52.33973446929083,52.33973446929083,True,True
20251017_part1_C07_e01_t0044,False,True,0.7737484198181458,152406.0,2398.9587283771557,0.7737484198181458,0.3026246291802849,0.9810985037111145,3.0049249105950957,6.1449979735438545,True,200,True,200,31.999826851469862,63.81253568374788,63.81253568374788,False,True
20251017_part1_H05_e01_t0061,False,True,0.8740128506326248,154390.0,2370.8813844421315,0.8740128506326248,0.6846563192904657,0.9862159621280147,2.8972810253404293,6.033929659714172,True,200,True,200,30.321582935722894,72.3425892931512,72.3425892931512,True,True
20251017_part1_F05_e01_t0063,False,True,0.78049045324921,136571.0,2533.6997102991113,0.78049045324921,0.38742227214960057,0.9905466953192998,3.7406056895987714,6.856080324622716,True,200,True,200,35.17346913991189,71.31207664013061,71.31207664013061,True,True
20251017_part1_E06_e01_t0005,False,True,0.6868020954669366,112617.0,2079.6307345282985,0.6868020954669366,0.3202403430547341,0.9606715031993089,3.056037199206627,6.197039297640339,True,200,True,200,20.239683553086863,74.72588950359518,68.56054425146834,False,True
20251017_part1_H02_e01_t0002,False,True,0.864230401440009,138276.0,2321.522040769447,0.864230401440009,0.4209058809204919,0.9869223835914587,3.101622586151381,6.243087291032011,True,200,True,200,29.425375623134006,57.61207010568295,57.61207010568295,True,True
20251017_part1_E12_e01_t0008,False,True,0.8169305381539587,136273.0,2333.6235918533625,0.8169305381539587,0.3843353038063221,0.9856345569414724,3.1801084618001614,6.32158378294874,True,200,True,200,27.280411290946148,56.65704211738468,56.65704211738468,True,True
20251017_part1_F04_e01_t0002,False,True,0.7600359798698831,98015.0,2040.6530291048848,0.7600359798698831,0.3308009558009558,0.985925178250448,3.380928046254577,6.518128170703326,True,200,True,200,18.776815040393252,57.67419273861579,55.22231444226842,True,True
