mask_name,mask_area,original_time,optimized_time,speedup,validation_passed,original_error,optimized_error,orig_length,opt_length
20250711_A01_e01_t0002,66118,0.2476942539215088,0.25443148612976074,0.9735204462673462,True,,,375.60128311616495,375.63735858203455
20250711_A01_e01_t0003,66781,0.2788827419281006,0.25525498390197754,1.0925653151407086,True,,,384.24555346731813,381.0532953025305
20250711_A01_e01_t0004,67088,0.24189090728759766,0.25037431716918945,0.9661170922900244,True,,,392.13989177929284,390.3145038571238
20250711_A01_e01_t0005,67644,0.3220381736755371,0.24692773818969727,1.3041798221475538,False,,,436.7901096713971,434.3064467364168
20250711_A01_e01_t0001,65931,0.2507016658782959,0.25783562660217285,0.9723313615814455,True,,,399.0025162204138,395.85900105235373
20250711_A01_e01_t0000,66605,0.2521955966949463,0.26090073585510254,0.9666342866698895,True,,,398.9037549270049,394.79050521610947
20250711_A02_e01_t0112,113204,0.20344924926757812,0.21192336082458496,0.9600133202680704,False,,,926.0873485917956,920.3670111582039
20250711_A02_e01_t0114,113726,0.2064206600189209,0.21474432945251465,0.961239165407465,True,,,931.875681081213,929.9107421530023
20250711_A02_e01_t0115,113768,0.20943951606750488,0.2174239158630371,0.9632772698263705,True,,,935.4659440625979,933.0219153145291
20250711_A02_e01_t0117,114156,0.21199798583984375,0.22046995162963867,0.9615731498683923,False,,,941.2085689191277,917.7730301511741
20250711_A02_e01_t0119,115211,0.2098836898803711,0.21926474571228027,0.9572158497188644,True,,,993.0110382204805,993.0110382204805
20250711_A02_e01_t0111,112368,0.2033689022064209,0.24268436431884766,0.8379975478734483,True,,,923.2293673963794,920.9862377184749
20250711_A02_e01_t0124,117730,0.21515130996704102,0.2236194610595703,0.9621314216016581,False,,,963.3672202088969,946.6437546483554
20250711_A02_e01_t0126,118562,0.21763825416564941,0.22892427444458008,0.9506997660850384,False,,,951.634014781448,939.5992194392504
20250711_A02_e01_t0110,112077,0.20313334465026855,0.2118067741394043,0.9590502734184169,True,,,923.4171646680207,921.2329190690282
