,20251017_combined_A01_e01,20251017_combined_A03_e01,20251017_combined_A04_e01,20251017_combined_A05_e01,20251017_combined_A06_e01,20251017_combined_B01_e01,20251017_combined_B03_e01,20251017_combined_B04_e01,20251017_combined_B05_e01,20251017_combined_B06_e01,20251017_combined_B07_e01,20251017_combined_C01_e01,20251017_combined_C03_e01,20251017_combined_C04_e01,20251017_combined_C05_e01,20251017_combined_C06_e01,20251017_combined_C07_e01,20251017_combined_D04_e01,20251017_combined_D06_e01,20251017_combined_D07_e01,20251017_combined_E04_e01,20251017_combined_E06_e01,20251017_combined_E07_e01,20251017_combined_F03_e01,20251017_combined_F05_e01,20251017_combined_F06_e01,20251017_combined_G03_e01,20251017_combined_G04_e01,20251017_combined_G05_e01,20251017_combined_G06_e01,20251017_combined_G07_e01,20251017_combined_H03_e01,20251017_combined_H05_e01,20251017_combined_H06_e01,20251017_combined_H07_e01
20251017_combined_A01_e01,0.0,2.5871904345797625,7.768399953919722,3.3423078419990353,0.553949202795195,0.9635751064791664,3.2793541208208525,3.159801349346948,2.7240187035958896,4.025908717057417,3.1663030184316128,1.8346020760869743,6.825679349220382,2.7271751626068244,2.027104558987049,1.94489273006399,2.2292172579662766,2.040140655193144,4.49495903512583,1.8546275901374996,5.560500115687036,1.9233514074764784,7.895359897152312,5.389635898581029,0.9798573580967389,4.714401825651238,7.552971465306105,4.974928528247798,14.753439371386595,3.206421427522161,4.385894786048443,3.560226894182499,3.1033150359836714,3.4228980344007165,4.046611227759839
20251017_combined_A03_e01,2.5871904345797625,0.0,2.7898582999813133,3.388717974295863,2.4699375885278307,3.1358135977591317,1.8464308871307376,4.319399472885517,0.5056303936437592,3.5327247828754,0.9265102092144928,3.7519616653840884,2.839393092164939,1.2471195980653609,3.9274603257158245,3.8258778509588693,2.462216981912048,3.916181964281403,3.8082103797111277,2.6108410657842054,2.9113314675643824,4.192440062547624,4.124927156958583,2.1446972042970662,1.5348652387409987,3.258972853221541,4.774708605348958,3.431658646410224,10.932317312094701,4.36084803837186,2.8491985908095225,1.8941809612929172,3.64503456984201,4.1587212694124585,4.72860450477177
20251017_combined_A04_e01,7.768399953919722,2.7898582999813133,0.0,11.281733751427844,6.530690062864058,10.101664012444534,5.0145859470620735,8.5540820185888,6.052838097892859,11.228959434106859,7.504932551670062,10.525262706022364,0.4053561807443765,4.58275060630129,6.6882722584136705,8.900858299640833,9.34369438040243,7.378781928951374,4.976536804233372,5.325983211023352,3.4444500632854886,7.144345986201101,2.3435337851035167,1.5663543658425607,5.761938029686465,11.175506760108213,2.9195423363924555,4.145474719713052,7.943272266733695,7.238782549908683,6.02653037009462,5.761216239520413,11.353165406744886,11.782460321303697,10.211533194377752
20251017_combined_A05_e01,3.3423078419990353,3.388717974295863,11.281733751427844,0.0,1.8422155347804958,1.9873706323715,6.387676400055913,5.372660627850477,3.1891290059245665,3.333114515016352,2.7640297638591167,2.1745330192198873,9.628498558766431,5.577241017216971,2.2541327870878582,2.9308434215442434,2.409676681342486,1.6442888817129313,6.538353325769109,2.2590549650834326,8.91042804382781,2.6785566530805434,11.126211814228368,8.06583199068212,2.070482395236999,4.505962827175541,10.931459593537737,7.22577608736812,18.12781457929512,3.8783565977761336,8.014802618425854,6.4701321990346905,1.9503787080993615,1.1498234004240329,1.2608636987518411
20251017_combined_A06_e01,0.553949202795195,2.4699375885278307,6.530690062864058,1.8422155347804958,0.0,0.6594270103305542,2.499756346394986,1.5251990211114885,2.4201568023782425,1.6809808358932405,2.545659534467543,0.43047279775104874,5.400494420602591,2.475457598028584,1.0345598213924567,0.5738581078990389,1.4786150980775095,0.9159202559797381,2.999075780978706,0.9895589071968356,2.9821548576123202,0.8963060610494568,6.754019963686105,4.205305365818488,0.42703937546142445,2.4567215940140676,6.474507062643757,3.194474045879723,12.90715396618786,1.9749105372700797,2.027693474351005,2.1642660141302557,0.6648847612495231,1.3070265586048486,1.872066434115033
20251017_combined_B01_e01,0.9635751064791664,3.1358135977591317,10.101664012444534,1.9873706323715,0.6594270103305542,0.0,5.579612111790226,3.231138151424114,2.4302848451146697,2.5035996012451016,3.188726746711717,0.6942363734247646,8.2347339711096,5.013335307289023,1.667605010654895,1.6142761180482506,1.9310448045241682,1.5979133164856165,5.881636907919096,1.6348885155985897,7.915474667830465,1.5280919620016247,9.458009921013831,7.2610098260374265,1.0307398393628562,4.137768407082382,9.906614764127855,6.438164548558089,16.38142864086502,3.1144935217907816,6.373997769513915,5.662193012634093,1.370037012849647,1.9131305028418613,2.9277036597650983
20251017_combined_B03_e01,3.2793541208208525,1.8464308871307376,5.0145859470620735,6.387676400055913,2.499756346394986,5.579612111790226,0.0,5.998900646927724,3.8129501862770936,7.819028096273961,4.635032364075222,5.970710003209903,3.83630655852175,1.9456251478148496,5.141944270047024,4.063956474334526,4.670446894667656,5.1798857100976345,3.058808782565408,4.1659736422824505,3.9693962875024105,5.258551851602171,4.855414932875247,2.450057400231033,1.5861591434461635,8.212515458444816,5.247683905956338,2.6999055192198274,11.994344343197099,5.357199549630082,3.6676961924624507,2.243496858395118,7.165890734276336,6.957894826921686,4.868716057278869
20251017_combined_B04_e01,3.159801349346948,4.319399472885517,8.5540820185888,5.372660627850477,1.5251990211114885,3.231138151424114,5.998900646927724,0.0,5.137743586691183,1.5764866834125513,5.356928909736451,3.35003563901227,8.672387750762283,5.158490822465876,1.2498748868966936,1.760641344940419,3.3534798733461524,1.3206298522893092,5.635755446553877,1.2356787434848924,4.337945015664042,0.5994182919906619,9.441513808835097,8.033110329011233,2.738128178276417,1.662297035658828,8.750465751838162,4.943874666859128,14.611632793317796,0.9901047483369,2.3466584700986144,4.021887938741361,3.4132157186617396,4.952749444318811,6.02740555478795
20251017_combined_B05_e01,2.7240187035958896,0.5056303936437592,6.052838097892859,3.1891290059245665,2.4201568023782425,2.4302848451146697,3.8129501862770936,5.137743586691183,0.0,4.903931256672081,1.0479320933056004,3.878998870070116,6.352663724104024,2.021609108743649,2.717030089071394,4.02862930469588,2.5200701490006963,2.5618295508542097,6.349845805468809,2.558265366108433,5.887743922440622,3.0441491299360313,7.877413718009308,5.01050325299219,1.2068828576665562,4.714119660478862,6.3791121439800245,6.267962547872962,14.93508714867461,2.8986531591928206,5.019801841956762,3.013534887874044,4.253049959449586,3.3276101589059968,4.035141658031802
20251017_combined_B06_e01,4.025908717057417,3.5327247828754,11.228959434106859,3.333114515016352,1.6809808358932405,2.5035996012451016,7.819028096273961,1.5764866834125513,4.903931256672081,0.0,4.510666526317796,2.4622214171536543,10.714398058198912,7.297594852216469,0.6768603469805143,2.7462306829785685,2.558452225835808,0.5125371798159437,7.839480489893597,0.7776895685466667,6.513681362833433,0.6911473112297092,11.580879730407641,9.838276293958618,3.099613053593113,1.1564772522219267,11.222459952305742,7.623492078226759,17.6383459309089,0.5701861629562044,4.910694253384564,6.682083563030269,2.0452669034137565,2.9904233521325825,3.836001202540838
20251017_combined_B07_e01,3.1663030184316128,0.9265102092144928,7.504932551670062,2.7640297638591167,2.545659534467543,3.188726746711717,4.635032364075222,5.356928909736451,1.0479320933056004,4.510666526317796,0.0,4.066688666137465,7.6599894583418,3.1512099445480724,2.5660028950595817,3.913881778480523,2.0833060688149376,2.142417340644558,6.461671546663449,2.546888443360111,6.555022952057576,3.1280696604429923,9.262026612302014,5.83631546265288,1.4096961223101674,4.448894771030902,7.418387374924811,6.095384082845584,16.073967202816224,2.2194661449827913,5.56331647774761,3.4067110295303604,3.747042779268717,2.711681277205189,3.964203748074937
20251017_combined_C01_e01,1.8346020760869743,3.7519616653840884,10.525262706022364,2.1745330192198873,0.43047279775104874,0.6942363734247646,5.970710003209903,3.35003563901227,3.878998870070116,2.4622214171536543,4.066688666137465,0.0,8.960095533297382,5.599985859129334,1.3721064452037819,1.9753107786243607,2.3128573136648276,1.6383530094797685,5.947871839450487,1.6740479779611708,7.641436894913593,1.3048957651342254,10.069566784010242,7.950463037787805,1.0987805363710637,4.563905744837555,10.220935391230453,6.716263509456981,16.786734020341207,2.769472225697931,6.39889245465251,5.4166186923181625,0.9625150156948766,1.4630270242169614,2.4265547861469603
20251017_combined_C03_e01,6.825679349220382,2.839393092164939,0.4053561807443765,9.628498558766431,5.400494420602591,8.2347339711096,3.83630655852175,8.672387750762283,6.352663724104024,10.714398058198912,7.6599894583418,8.960095533297382,0.0,4.150288634131086,7.250643790236294,8.465477663593878,8.813820316278028,7.563713086384656,3.8651909928705876,5.629354853018584,3.8115980703034027,7.459776527296712,2.5019254926990495,1.550367725774983,4.51478408582047,11.138693100889826,1.7740319054624252,3.859328853369009,8.503513735974137,6.9900998681120825,6.205114983470762,3.5772983663820708,10.010375109332603,9.779138881762233,10.19340495786521
20251017_combined_C04_e01,2.7271751626068244,1.2471195980653609,4.58275060630129,5.577241017216971,2.475457598028584,5.013335307289023,1.9456251478148496,5.158490822465876,2.021609108743649,7.297594852216469,3.1512099445480724,5.599985859129334,4.150288634131086,0.0,4.6169425305705705,4.490304841139035,4.112851914251645,4.5618711520861615,5.144525480596448,3.983360131218325,4.083248259027217,4.6545039414277705,5.430541276909008,3.1822016954087684,2.009790659492846,7.5342162316740575,4.062709222527731,4.232136288299858,12.524276359531566,4.39396986835627,3.5749005246481516,1.4380380625376288,6.614907672770501,6.085884231506601,5.4242231646845935
20251017_combined_C05_e01,2.027104558987049,3.9274603257158245,6.6882722584136705,2.2541327870878582,1.0345598213924567,1.667605010654895,5.141944270047024,1.2498748868966936,2.717030089071394,0.6768603469805143,2.5660028950595817,1.3721064452037819,7.250643790236294,4.6169425305705705,0.0,1.13252141673919,1.1277360351289452,0.5916581243595089,5.623386529898799,0.3745158631080112,3.499067938158356,0.5412711275913039,8.231326447172977,6.872922432491775,2.7226291622592744,0.8788958648882399,7.755486200518611,5.263368520392023,12.86820988700527,1.0690647183359352,2.2472975033316755,4.549710185087916,0.5663985672051994,1.5258260091428526,2.669282012840494
