binwidth_hpf,genotype,n_time_bins,mean_penetrance_%,std_penetrance_%,min_penetrance_%,max_penetrance_%,range_penetrance_%,mean_se_%
2.0,WT,44,7.729978354978353,17.79023174314183,0.0,100.0,100.0,4.071421794960259
2.0,Het,38,21.823242546926753,26.57350504796184,0.0,100.0,100.0,11.007080816530298
2.0,Homo,46,83.29222051995376,14.44043562230367,55.00000000000001,100.0,44.99999999999999,6.451858368979605
5.0,WT,20,14.209401709401709,23.485234229363318,0.0,100.0,100.0,5.9876590103052285
5.0,Het,16,21.95010718448218,23.621489350139175,0.0,100.0,100.0,11.583172425181695
5.0,Homo,20,85.8421187527604,13.809550727642586,54.54545454545454,100.0,45.45454545454546,5.268828663251
10.0,WT,10,24.214285714285715,29.517289986773264,0.0,100.0,100.0,7.4176175107635505
10.0,Het,8,19.205950299700298,12.85728076417918,6.25,50.0,43.75,13.34989420648709
10.0,Homo,10,88.87650312650314,11.976187216201232,60.0,100.0,40.0,4.382187040475088
