snip_id,total_area,shape,hole_area,hole_fraction,n_components,largest_component_fraction,component_sizes,skeleton_length,branch_points,endpoints,skeleton_success,eccentricity,solidity,extent,mask_original
20251017_part2_B05_e01_t0037_after,107014,"(2189, 1152)",0,0.0,1,1.0,[107014],648,0,2,True,0.9754056422136956,0.8694952712145341,0.46568320278503045,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
20251017_part2_G07_e01_t0013_after,104021,"(2189, 1152)",0,0.0,1,1.0,[104021],757,0,2,True,0.9694777670487273,0.6355183010648892,0.2785868854917673,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
20251017_part2_B05_e01_t0005_after,87581,"(2189, 1152)",0,0.0,1,1.0,[87581],536,0,2,True,0.9653685853845857,0.8948707469091652,0.5565362716689543,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
