embryo_id,set_type,set_rank,genotype,bin_hpf,frame_index,matched_stage_hpf,stage_abs_err_hpf,curvature,experiment_date,well,analysis_use
20251112_H12_e01,mutant,1,cep290_homozygous,24.0,0,25.0,1.0,0.0008497663299895,20251112,H12,True
20251112_H12_e01,mutant,1,cep290_homozygous,26.0,2,26.214503708520507,0.21450370852050682,0.0005960109723383,20251112,H12,True
20251112_H12_e01,mutant,1,cep290_homozygous,28.0,5,27.971825818896484,0.028174181103516105,0.0005053644876946,20251112,H12,True
20251112_H12_e01,mutant,1,cep290_homozygous,30.0,8,29.728670437890624,0.27132956210937564,0.0003937838938354,20251112,H12,True
20251112_H12_e01,mutant,1,cep290_homozygous,32.0,12,32.16372909223633,0.1637290922363306,0.00037745980722,20251112,H12,True
20251112_H12_e01,mutant,1,cep290_homozygous,34.0,15,33.923683731762694,0.07631626823730642,0.0004109419569374,20251112,H12,True
20251112_H12_e01,mutant,1,cep290_homozygous,36.0,18,35.6839363267334,0.3160636732665978,0.0005562192184642,20251112,H12,True
20251112_H12_e01,mutant,1,cep290_homozygous,38.0,22,38.03134323283692,0.03134323283691742,0.0004551061530602,20251112,H12,True
20251112_H12_e01,mutant,1,cep290_homozygous,40.0,25,39.79477616713867,0.2052238328613285,0.000387056507272,20251112,H12,True
20251112_H12_e01,mutant,1,cep290_homozygous,42.0,29,42.147866540869146,0.14786654086914552,0.0003409678631627,20251112,H12,True
20251112_H12_e01,mutant,1,cep290_homozygous,44.0,32,43.906451166162114,0.09354883383788604,0.0003057025476017,20251112,H12,True
20251112_H12_e01,mutant,1,cep290_homozygous,46.0,36,46.25089496025391,0.250894960253909,0.0003064572797207,20251112,H12,True
20251112_H12_e01,mutant,1,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.000296389332229,20251112,H12,True
20251205_C01_e01,mutant,2,cep290_homozygous,24.0,8,24.06824309157715,0.06824309157714836,0.0018047058370311,20251205,C01,True
20251205_C01_e01,mutant,2,cep290_homozygous,26.0,13,25.96444057141113,0.035559428588868514,0.001053375122661,20251205,C01,True
