time_bin,sample_penetrance,sample_ci_low,sample_ci_high,embryo_penetrance,embryo_ci_low,embryo_ci_high,n_samples,n_embryos
45.0,0.1,0.03459988874733419,0.25621082579184085,0.07142857142857142,0.012722215247890939,0.31468704424151117,30,14
47.0,0.13636363636363635,0.04749003714055253,0.33334987166571717,0.09090909090909091,0.016232172885884855,0.37735843645159567,22,11
49.0,0.2,0.0950510717728987,0.3730569641314825,0.3076923076923077,0.12680703655710515,0.5763065681945096,30,13
51.0,0.125,0.04344334080123444,0.31003881270500067,0.18181818181818182,0.05136768974608513,0.4769805619608442,24,11
53.0,0.1875,0.06591599071428142,0.4300888096197414,0.3,0.10779126740630099,0.6032218525388546,16,10
55.0,0.05263157894736842,0.009351994062300362,0.24638731166898786,0.08333333333333333,0.014865094404917095,0.35387991114111694,19,12
57.0,0.4166666666666667,0.19326031365875665,0.6804886874504503,0.5555555555555556,0.26665129349549305,0.8112214789023355,12,9
59.0,0.21052631578947367,0.08507676632916253,0.43334278443814167,0.125,0.03497748774324047,0.36022827265758695,19,16
61.0,0.30434782608695654,0.15604024453214022,0.508657562687592,0.4,0.1982449614134158,0.6425316987937539,23,15
63.0,0.2,0.05668215145437519,0.5098375284633583,0.2857142857142857,0.08221892400405678,0.6410655481673808,10,7
65.0,0.2631578947368421,0.11806412346782508,0.487915508978151,0.3076923076923077,0.12680703655710515,0.5763065681945096,19,13
67.0,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.375,0.13684428582359742,0.6942576053973727,12,8
69.0,0.35294117647058826,0.17309720397243744,0.5869963651478132,0.5,0.21521606221387757,0.7847839377861224,17,8
71.0,0.25,0.04558726080970055,0.6993581574175981,0.25,0.04558726080970055,0.6993581574175981,4,4
73.0,0.125,0.02241749145005667,0.4708881822128535,0.2,0.03622410863243014,0.6244653702374747,8,5
75.0,0.2,0.07047549346981563,0.45185448715169363,0.3333333333333333,0.09677141110578041,0.700006684861608,15,6
77.0,0.16,0.0640345145667644,0.3465362160717886,0.2,0.05668215145437519,0.5098375284633583,25,10
79.0,0.42857142857142855,0.21380798904474121,0.6740935542034926,0.42857142857142855,0.15821985525146975,0.7495416354723428,14,7
81.0,0.1,0.027866481213768224,0.3010336452284873,0.2222222222222222,0.06322510711784671,0.5474110308930111,20,9
83.0,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.2857142857142857,0.08221892400405678,0.6410655481673808,12,7
85.0,0.35294117647058826,0.17309720397243744,0.5869963651478132,0.375,0.13684428582359742,0.6942576053973727,17,8
87.0,0.5,0.26799202452413634,0.7320079754758637,0.625,0.30574239460262737,0.8631557141764026,14,8
89.0,0.0,0.0,0.20388330103584862,0.0,0.0,0.43448246478317476,15,5
91.0,0.0,2.7755575615628914e-17,0.3903342879021653,0.0,5.551115123125783e-17,0.5614970317550454,6,3
93.0,0.25,0.071479212752109,0.5907245696898311,0.25,0.04558726080970055,0.6993581574175981,8,4
95.0,0.36363636363636365,0.15166471095367573,0.6461988254921511,0.5,0.15003898915214947,0.8499610108478506,11,4
97.0,0.2727272727272727,0.09746059290024889,0.5656453011761291,0.25,0.04558726080970055,0.6993581574175981,11,4
99.0,0.2,0.05668215145437519,0.5098375284633583,0.2,0.03622410863243014,0.6244653702374747,10,5
101.0,0.3,0.10779126740630099,0.6032218525388546,0.3333333333333333,0.06149194472039621,0.7923403991979522,10,3
103.0,0.8333333333333334,0.43649717781352987,0.9699466302516935,1.0,0.34238022750665303,1.0,6,2
105.0,0.375,0.13684428582359742,0.6942576053973727,0.5,0.15003898915214947,0.8499610108478506,8,4
107.0,0.5,0.1876163064826506,0.8123836935173494,0.5,0.09453120573423074,0.9054687942657693,6,2
109.0,0.4,0.11762077423264783,0.769275718723987,0.3333333333333333,0.06149194472039621,0.7923403991979522,5,3
111.0,1.0,0.4385029682449546,1.0,1.0,0.34238022750665303,1.0,3,2
113.0,1.0,0.20654931437723745,1.0,1.0,0.20654931437723745,1.0,1,1
115.0,1.0,0.34238022750665303,1.0,1.0,0.20654931437723745,1.0,2,1
117.0,1.0,0.20654931437723745,1.0,1.0,0.20654931437723745,1.0,1,1
119.0,1.0,0.20654931437723745,1.0,1.0,0.20654931437723745,1.0,1,1
