embryo_id,onset_time_hpf
20251017_combined_A01_e01,62.31969689487305
20251017_combined_A03_e01,49.14132601850586
20251017_combined_A04_e01,48.01216312043457
20251017_combined_A05_e01,44.613708819189455
20251017_combined_A06_e01,44.613708819189455
20251017_combined_B01_e01,60.0
20251017_combined_B03_e01,49.70770721928711
20251017_combined_B04_e01,44.613708819189455
20251017_combined_B05_e01,44.613708819189455
20251017_combined_B06_e01,44.613708819189455
20251017_combined_B07_e01,44.613708819189455
20251017_combined_C01_e01,68.52813408266601
20251017_combined_C03_e01,44.613708819189455
20251017_combined_C04_e01,44.613708819189455
20251017_combined_C05_e01,44.613708819189455
20251017_combined_C06_e01,44.613708819189455
20251017_combined_C07_e01,44.613708819189455
20251017_combined_D04_e01,44.613708819189455
20251017_combined_D06_e01,44.613708819189455
20251017_combined_D07_e01,44.613708819189455
20251017_combined_E04_e01,44.613708819189455
20251017_combined_E06_e01,44.613708819189455
20251017_combined_E07_e01,49.14132601850586
20251017_combined_F03_e01,44.613708819189455
20251017_combined_F05_e01,44.613708819189455
20251017_combined_F06_e01,44.613708819189455
20251017_combined_G03_e01,44.613708819189455
20251017_combined_G04_e01,44.613708819189455
20251017_combined_G05_e01,44.613708819189455
20251017_combined_G06_e01,44.613708819189455
20251017_combined_G07_e01,44.613708819189455
20251017_combined_H03_e01,44.613708819189455
20251017_combined_H05_e01,44.613708819189455
20251017_combined_H06_e01,44.613708819189455
20251017_combined_H07_e01,49.70770721928711
