genotype,n_embryos_with_onset,n_total_embryos,mean_penetrance,max_penetrance,mean_onset_hpf,median_onset_hpf,earliest_onset_hpf,latest_onset_hpf
WT,16,18,0.3800160697887971,1.0,60.11961966723632,59.76161177012939,44.613708819189455,111.6696323253418
Het,19,25,0.40449083080662035,1.0,57.619130703663394,56.26625408852539,44.613708819189455,83.02223584853516
Homo,35,35,0.8613600826020746,1.0,46.88937710547643,44.613708819189455,44.613708819189455,68.52813408266601
