time_bin,sample_penetrance,sample_ci_low,sample_ci_high,embryo_penetrance,embryo_ci_low,embryo_ci_high,n_samples,n_embryos
45.0,0.08695652173913043,0.024180004484220363,0.26795981075743663,0.18181818181818182,0.05136768974608513,0.4769805619608442,23,11
47.0,0.14285714285714285,0.040093921271464966,0.39941379496970353,0.2,0.05668215145437519,0.5098375284633583,14,10
49.0,0.10526315789473684,0.02935856029887013,0.31394082711109006,0.2,0.05668215145437519,0.5098375284633583,19,10
51.0,0.10526315789473684,0.02935856029887013,0.31394082711109006,0.2,0.05668215145437519,0.5098375284633583,19,10
53.0,0.2,0.05668215145437519,0.5098375284633583,0.3333333333333333,0.09677141110578041,0.700006684861608,10,6
55.0,0.2,0.05668215145437519,0.5098375284633583,0.3333333333333333,0.09677141110578041,0.700006684861608,10,6
57.0,0.25,0.071479212752109,0.5907245696898311,0.16666666666666666,0.030053369748306635,0.5635028221864702,8,6
59.0,0.18181818181818182,0.05136768974608513,0.4769805619608442,0.2222222222222222,0.06322510711784671,0.5474110308930111,11,9
61.0,0.1111111111111111,0.03101952264561239,0.32799765130178804,0.25,0.071479212752109,0.5907245696898311,18,8
63.0,0.15384615384615385,0.043258178358081184,0.4223463101948254,0.3333333333333333,0.09677141110578041,0.700006684861608,13,6
65.0,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.25,0.071479212752109,0.5907245696898311,12,8
67.0,0.18181818181818182,0.05136768974608513,0.4769805619608442,0.2857142857142857,0.08221892400405678,0.6410655481673808,11,7
69.0,0.15384615384615385,0.043258178358081184,0.4223463101948254,0.2857142857142857,0.08221892400405678,0.6410655481673808,13,7
71.0,0.3333333333333333,0.09677141110578041,0.700006684861608,0.25,0.04558726080970055,0.6993581574175981,6,4
73.0,0.13333333333333333,0.03736125910306537,0.37881982832322364,0.2857142857142857,0.08221892400405678,0.6410655481673808,15,7
75.0,0.2,0.05668215145437519,0.5098375284633583,0.5,0.15003898915214947,0.8499610108478506,10,4
77.0,0.15384615384615385,0.043258178358081184,0.4223463101948254,0.3333333333333333,0.09677141110578041,0.700006684861608,13,6
79.0,0.2,0.05668215145437519,0.5098375284633583,0.5,0.15003898915214947,0.8499610108478506,10,4
81.0,0.1,0.027866481213768224,0.3010336452284873,0.2857142857142857,0.08221892400405678,0.6410655481673808,20,7
83.0,0.11764705882352941,0.03287977376379267,0.3433635059488588,0.2857142857142857,0.08221892400405678,0.6410655481673808,17,7
85.0,0.09523809523809523,0.02651876743807452,0.2891413907391826,0.25,0.071479212752109,0.5907245696898311,21,8
87.0,0.13333333333333333,0.03736125910306537,0.37881982832322364,0.2857142857142857,0.08221892400405678,0.6410655481673808,15,7
89.0,0.13333333333333333,0.03736125910306537,0.37881982832322364,0.25,0.071479212752109,0.5907245696898311,15,8
91.0,0.15384615384615385,0.043258178358081184,0.4223463101948254,0.3333333333333333,0.09677141110578041,0.700006684861608,13,6
93.0,0.15384615384615385,0.043258178358081184,0.4223463101948254,0.3333333333333333,0.09677141110578041,0.700006684861608,13,6
95.0,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.3333333333333333,0.09677141110578041,0.700006684861608,12,6
97.0,0.14285714285714285,0.040093921271464966,0.39941379496970353,0.2857142857142857,0.08221892400405678,0.6410655481673808,14,7
99.0,0.2857142857142857,0.08221892400405678,0.6410655481673808,0.6666666666666666,0.2076596008020477,0.9385080552796037,7,3
101.0,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.5,0.15003898915214947,0.8499610108478506,12,4
103.0,0.25,0.071479212752109,0.5907245696898311,0.5,0.15003898915214947,0.8499610108478506,8,4
105.0,0.18181818181818182,0.05136768974608513,0.4769805619608442,0.4,0.11762077423264783,0.769275718723987,11,5
107.0,0.18181818181818182,0.05136768974608513,0.4769805619608442,0.5,0.15003898915214947,0.8499610108478506,11,4
109.0,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.3333333333333333,0.09677141110578041,0.700006684861608,12,6
111.0,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.4,0.11762077423264783,0.769275718723987,12,5
113.0,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.5,0.15003898915214947,0.8499610108478506,12,4
115.0,0.18181818181818182,0.05136768974608513,0.4769805619608442,0.6666666666666666,0.2076596008020477,0.9385080552796037,11,3
117.0,0.3333333333333333,0.09677141110578041,0.700006684861608,1.0,0.34238022750665303,1.0,6,2
119.0,0.25,0.071479212752109,0.5907245696898311,0.5,0.15003898915214947,0.8499610108478506,8,4
121.0,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,1,1
125.0,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,1,1
127.0,1.0,0.34238022750665303,1.0,1.0,0.20654931437723745,1.0,2,1
131.0,1.0,0.34238022750665303,1.0,1.0,0.20654931437723745,1.0,2,1
133.0,1.0,0.34238022750665303,1.0,1.0,0.20654931437723745,1.0,2,1
135.0,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,1,1
