time_bin,percentile_2.5,percentile_50_median,percentile_97.5,mean,std,n_samples
45.0,0.0030680261319270146,0.008302378055699186,0.020861469946273328,0.0091465847390308,0.004789005205527694,23
47.0,0.004066601375133459,0.007873434678619272,0.034406387143802744,0.010310149288621244,0.00997705748847143,14
49.0,0.0050626371481337605,0.009108612513231562,0.02001370699466047,0.009930837680698705,0.003992451764640306,19
51.0,0.0056687201878504526,0.007924162542603893,0.01707240225655846,0.009242262447877602,0.0036071383553099006,19
53.0,0.00432678323039762,0.010520547201511379,0.01776204104115144,0.011032878095792025,0.004738320659827824,10
55.0,0.004604556177141571,0.00798962664530287,0.028910463751390406,0.011217246595777379,0.007985361188101163,10
57.0,0.008392138531816746,0.012296961145651118,0.02748745309866493,0.015332812772689705,0.006701655780788073,8
59.0,0.004381251387656337,0.009168849897090036,0.014311008989146869,0.009269672311827536,0.0034171130023526513,11
61.0,0.0055855128258469194,0.0106752991124874,0.015535885884351737,0.010688420255778396,0.0026995445013867705,18
63.0,0.0055098132539321875,0.009475555723477327,0.013764387876248417,0.009632187440195221,0.002810768029487805,13
65.0,0.0025641237702971743,0.008726880657036407,0.014168026390186564,0.008525766448987542,0.003555883401824826,12
67.0,0.004758325619605559,0.010057104466391055,0.019558994514103246,0.01060110674997867,0.004372665607842281,11
69.0,0.0039044730690281056,0.00862401364102116,0.015360518864026635,0.009585003454378896,0.003968069477104334,13
71.0,0.007427755054777555,0.012316052738821288,0.019263189919606908,0.012651387219644006,0.004056575764909898,6
73.0,0.005021219354779811,0.008891668600246008,0.020057691258962663,0.010393128309636894,0.004336091048386252,15
75.0,0.006168983883247612,0.011267207650136349,0.02123641323055164,0.011388600037418975,0.004891706891098414,10
77.0,0.006354011538696058,0.011635754414266654,0.022803414244786293,0.012857973253547426,0.00516717257435149,13
79.0,0.007926118106361384,0.010840049763134987,0.017516256991150937,0.012064660055539744,0.0034449922450421754,10
81.0,0.004093229110185605,0.012752587652800962,0.021972137320231254,0.011530563146731506,0.005224241770290903,20
83.0,0.0032546466715046352,0.011371840649330401,0.014596307203166238,0.010386735539920658,0.003308732353025245,17
85.0,0.0031390884320128187,0.010763255598070077,0.02066207873812919,0.010439631409352508,0.005051205092285999,21
87.0,0.007576967404747805,0.013385604637973671,0.01886902231296394,0.01299723214878666,0.0034594420566450503,15
89.0,0.007979162726360949,0.013797133672480874,0.02991120190740496,0.015161666067202205,0.006225495288251128,15
91.0,0.00996784707959944,0.013858107798342121,0.02900917846695897,0.016974922593774592,0.005923736846914712,13
93.0,0.007492465864484557,0.012467282510957595,0.02284139145750846,0.013554222486808633,0.004705752522700512,13
95.0,0.008351933295815997,0.015441320746287028,0.020188004854955685,0.015400819867285823,0.003982058684100036,12
97.0,0.007534234993050775,0.013455019855028717,0.026815452940377148,0.01512490428310569,0.006319865878810689,14
99.0,0.005756188624662411,0.01343170608217414,0.02231940241144061,0.013850604583219139,0.006055628126624649,7
101.0,0.007337454164001084,0.013371586285434719,0.023949681736691847,0.014913423016146699,0.00618763977130465,12
103.0,0.013553607432792025,0.022102151333331287,0.02783170950240939,0.020351972126486463,0.0055461912796541625,8
105.0,0.008653578267489664,0.016708765917702737,0.04023835030373835,0.0192701963513538,0.009542763910790621,11
107.0,0.005509004869284404,0.013961552722906015,0.031396887870154086,0.013030972454603213,0.008529448754304687,11
109.0,0.006973093702521424,0.01594335833382304,0.023813499755524548,0.015032980409634312,0.00537788916623435,12
111.0,0.00693439544442949,0.014621481896966344,0.018224708209148167,0.013708970049547138,0.0037421396543701585,12
113.0,0.0075329412102981335,0.01482191888839653,0.017619276180239663,0.013671488757759927,0.003710155038879841,12
115.0,0.009484115113887864,0.014612679600136113,0.016862002031979996,0.013753428241476568,0.0028251364793414353,11
117.0,0.012515070625481538,0.01586984030402073,0.017994308232254435,0.015440046619571107,0.002394138812724726,6
119.0,0.010082792229703716,0.01660682655772216,0.02127258357000283,0.015953467802818477,0.003800056584037547,8
121.0,0.013961021400454469,0.013961021400454469,0.013961021400454469,0.013961021400454469,0.0,1
125.0,0.012061448792556778,0.012061448792556778,0.012061448792556778,0.012061448792556778,0.0,1
127.0,0.013516002431791768,0.013688719655166225,0.01386143687854068,0.013688719655166225,0.000181807603552059,2
131.0,0.010787925649596927,0.01137153681098127,0.011955147972365614,0.01137153681098127,0.0006143275382993084,2
133.0,0.01312264256587645,0.01944721601070763,0.02577178945553881,0.01944721601070763,0.006657445731401242,2
135.0,0.019759836062566826,0.019759836062566826,0.019759836062566826,0.019759836062566826,0.0,1
