embryo_id,avg_metric,rank,normalized_rank
20251017_combined_B10_e01,0.006345336292845942,1,0.0
20251017_combined_F02_e01,0.007598986600805699,2,0.015873015873015872
20251017_combined_F12_e01,0.008075141010138348,3,0.031746031746031744
20251017_combined_D11_e01,0.008130902400917817,4,0.047619047619047616
20251017_combined_D09_e01,0.008391105801112176,5,0.06349206349206349
20251017_combined_A05_e01,0.008661156971813402,6,0.07936507936507936
20251017_combined_H01_e01,0.009210891526858507,7,0.09523809523809523
20251017_combined_C09_e01,0.009326673750060223,8,0.1111111111111111
20251017_combined_F09_e01,0.009470861678254965,9,0.12698412698412698
20251017_combined_B09_e01,0.009531637022343848,10,0.14285714285714285
20251017_combined_D02_e01,0.009600451471380987,11,0.15873015873015872
20251017_combined_D08_e01,0.009841381092813782,12,0.1746031746031746
20251017_combined_E12_e01,0.010437760689278703,13,0.19047619047619047
20251017_combined_G02_e01,0.010689593112904044,14,0.20634920634920634
20251017_combined_F08_e01,0.01092194381235346,15,0.2222222222222222
20251017_combined_A02_e01,0.010974785817277146,16,0.23809523809523808
20251017_combined_H02_e01,0.011000587410807117,17,0.25396825396825395
20251017_combined_F10_e01,0.011385629726482358,18,0.2698412698412698
20251017_combined_B11_e01,0.01198125625570641,19,0.2857142857142857
20251017_combined_C11_e01,0.012460635499417973,20,0.30158730158730157
20251017_combined_H07_e01,0.012475549874988584,21,0.31746031746031744
20251017_combined_H10_e01,0.012859386216688093,22,0.3333333333333333
20251017_combined_E11_e01,0.014521372273389404,23,0.3492063492063492
20251017_combined_H11_e01,0.014690908905324781,24,0.36507936507936506
20251017_combined_H09_e01,0.015533594302741533,25,0.38095238095238093
20251017_combined_F11_e01,0.015666240700995565,26,0.3968253968253968
20251017_combined_H05_e01,0.015776992661693152,27,0.4126984126984127
20251017_combined_C02_e01,0.015802483402252796,28,0.42857142857142855
20251017_combined_H08_e01,0.015818168393482074,29,0.4444444444444444
20251017_combined_G10_e01,0.016417047800029217,30,0.4603174603174603
20251017_combined_B02_e01,0.016522441040077055,31,0.47619047619047616
20251017_combined_D01_e01,0.01751617004114933,32,0.49206349206349204
20251017_combined_D04_e01,0.01807332981415825,33,0.5079365079365079
20251017_combined_A10_e01,0.019117774530165863,34,0.5238095238095238
20251017_combined_H06_e01,0.01948448191284457,35,0.5396825396825397
20251017_combined_D07_e01,0.020365180538301674,36,0.5555555555555556
20251017_combined_B06_e01,0.023913571824923187,37,0.5714285714285714
20251017_combined_C05_e01,0.026346016462216425,38,0.5873015873015873
20251017_combined_G06_e01,0.028640485060802523,39,0.6031746031746031
20251017_combined_F06_e01,0.03056983514753681,40,0.6190476190476191
20251017_combined_C06_e01,0.03645652700816691,41,0.6349206349206349
20251017_combined_E06_e01,0.03820569045822078,42,0.6507936507936508
20251017_combined_B04_e01,0.03870148069814419,43,0.6666666666666666
20251017_combined_B01_e01,0.040334871586209395,44,0.6825396825396826
20251017_combined_A01_e01,0.046032421021495594,45,0.6984126984126984
20251017_combined_C07_e01,0.04642772000802073,46,0.7142857142857143
20251017_combined_C01_e01,0.04789785945500511,47,0.7301587301587301
20251017_combined_F05_e01,0.051049145513250155,48,0.746031746031746
20251017_combined_B07_e01,0.05386194705811018,49,0.7619047619047619
20251017_combined_B05_e01,0.05427648493567192,50,0.7777777777777778
20251017_combined_B03_e01,0.073467530849343,51,0.7936507936507936
20251017_combined_G07_e01,0.07733593913508434,52,0.8095238095238095
20251017_combined_C04_e01,0.08191759480846578,53,0.8253968253968254
20251017_combined_G04_e01,0.0833273508344852,54,0.8412698412698413
20251017_combined_F03_e01,0.08869861871780943,55,0.8571428571428571
20251017_combined_G03_e01,0.0909294209951314,56,0.873015873015873
20251017_combined_A03_e01,0.09191386091899299,57,0.8888888888888888
20251017_combined_E04_e01,0.09326457027436863,58,0.9047619047619048
20251017_combined_H03_e01,0.0983749899729804,59,0.9206349206349206
20251017_combined_A11_e01,0.09900862625885908,60,0.9365079365079365
20251017_combined_E07_e01,0.10713458125343252,61,0.9523809523809523
20251017_combined_C03_e01,0.11449513792089897,62,0.9682539682539683
20251017_combined_A04_e01,0.11584244310140362,63,0.9841269841269841
20251017_combined_G05_e01,0.20396465178798717,64,1.0
