embryo_id,sigma,threshold,success,length_um,mean_curvature,n_centerline_points
20251017_combined_D10_e01_t0108,10,0.4,True,3407.4681779885573,0.001644008308711259,1046
20251017_combined_D10_e01_t0108,10,0.5,True,3513.198464656643,4.29739489442902e-05,1065
20251017_combined_D10_e01_t0108,10,0.6,True,3488.621635880561,0.0015840230053666305,1069
20251017_combined_D10_e01_t0108,10,0.7,True,3484.5181014552845,0.001153834873532245,1066
20251017_combined_D10_e01_t0108,10,0.8,True,3336.6250885808313,0.0015345258932533468,1019
20251017_combined_D10_e01_t0108,10,0.9,True,3147.961341004634,0.0014319673950838466,956
20251017_combined_D10_e01_t0108,15,0.4,True,3479.1873798713004,4.010398907938368e-05,1055
20251017_combined_D10_e01_t0108,15,0.5,True,3435.988850155016,4.317599949558998e-05,1042
20251017_combined_D10_e01_t0108,15,0.6,True,3341.817684875752,4.703325533679523e-05,1013
20251017_combined_D10_e01_t0108,15,0.7,True,3161.1744682150033,5.807773075128064e-05,958
20251017_combined_D10_e01_t0108,15,0.8,True,2810.583733616307,7.826226928858983e-05,851
20251017_combined_D10_e01_t0108,15,0.9,True,2329.4483920246894,0.00010408835164715666,704
20251017_combined_D10_e01_t0108,20,0.4,True,3403.6461436454306,4.219282981206748e-05,1031
20251017_combined_D10_e01_t0108,20,0.5,True,3247.1867513166476,4.9620059588161854e-05,983
20251017_combined_D10_e01_t0108,20,0.6,True,3020.815824036258,6.268052718178422e-05,914
20251017_combined_D10_e01_t0108,20,0.7,True,2687.8810231953303,7.204275720815639e-05,813
20251017_combined_D10_e01_t0108,20,0.8,True,2239.29458918183,6.727335787309096e-05,678
20251017_combined_D10_e01_t0108,20,0.9,True,1529.2531725794738,9.432518802556767e-05,462
20251017_combined_D10_e01_t0108,25,0.4,True,3237.820304668393,4.5807239164900365e-05,980
20251017_combined_D10_e01_t0108,25,0.5,True,2997.7637160335917,5.6875658145070384e-05,907
20251017_combined_D10_e01_t0108,25,0.6,True,2642.569052081153,7.172125356950696e-05,800
20251017_combined_D10_e01_t0108,25,0.7,True,2190.4159152431885,6.06140595515609e-05,663
20251017_combined_D10_e01_t0108,25,0.8,True,1583.0649524707278,9.51067838553531e-05,478
20251017_combined_D10_e01_t0108,25,0.9,True,880.3665700622751,0.0005436359083673993,268
20251017_combined_D10_e01_t0108,30,0.4,True,3092.4131199479357,4.394205180048352e-05,936
20251017_combined_D10_e01_t0108,30,0.5,True,2690.46431278785,5.817360937085193e-05,814
20251017_combined_D10_e01_t0108,30,0.6,True,2245.780981563147,4.321039192375277e-05,679
20251017_combined_D10_e01_t0108,30,0.7,True,1665.4624391351472,0.00010541838950082442,503
20251017_combined_D10_e01_t0108,30,0.8,True,936.1578257713687,0.0005304041661323044,284
20251017_combined_D10_e01_t0108,30,0.9,True,753.7537612330055,0.00038090741036960157,230
20251017_combined_D10_e01_t0108,35,0.4,True,2856.329331532492,3.6797197198802176e-05,865
20251017_combined_D10_e01_t0108,35,0.5,True,2394.6055658425116,4.0406376530519673e-05,724
20251017_combined_D10_e01_t0108,35,0.6,True,1829.776300057876,8.309372321924472e-05,553
20251017_combined_D10_e01_t0108,35,0.7,True,1017.3648409163202,0.0004800637277282091,309
20251017_combined_D10_e01_t0108,35,0.8,True,817.6278410795559,0.00046374870876971105,248
20251017_combined_D10_e01_t0108,35,0.9,True,637.0291922566769,0.000513623036215827,194
20251017_combined_D10_e01_t0108,40,0.4,True,2622.024515052392,3.066517362053669e-05,793
20251017_combined_D10_e01_t0108,40,0.5,True,2078.179142916027,4.405891463695227e-05,629
20251017_combined_D10_e01_t0108,40,0.6,True,1248.9280994342935,0.00029161397301166373,379
20251017_combined_D10_e01_t0108,40,0.7,True,873.6498040652435,0.0004822561751984686,265
20251017_combined_D10_e01_t0108,40,0.8,True,727.687373181266,0.00048711021906434426,221
20251017_combined_D10_e01_t0108,40,0.9,True,494.7171396285399,0.0005135071979206261,150
20251017_combined_D10_e01_t0108,45,0.4,True,2379.3716840245775,1.2902060248688369e-05,719
20251017_combined_D10_e01_t0108,45,0.5,True,1730.2641872207907,0.00016449314401716084,523
20251017_combined_D10_e01_t0108,45,0.6,True,968.6464716974926,0.0004920563120169547,294
20251017_combined_D10_e01_t0108,45,0.7,True,765.7370579045182,0.00046171865309419126,232
20251017_combined_D10_e01_t0108,45,0.8,True,607.2421429873891,0.0005634456697629297,184
20251017_combined_D10_e01_t0108,45,0.9,True,367.99528758322504,0.0004068668053125052,111
20251017_combined_D10_e01_t0108,50,0.4,True,2141.8295408986573,6.181191171242903e-05,648
20251017_combined_D10_e01_t0108,50,0.5,True,1257.1934630447365,0.00032984403638659934,381
20251017_combined_D10_e01_t0108,50,0.6,True,871.1903045160033,0.00040066636321520687,265
20251017_combined_D10_e01_t0108,50,0.7,True,690.3457930066279,0.0005719830493453415,209
20251017_combined_D10_e01_t0108,50,0.8,True,500.9885696370562,0.0006055510877749538,152
20251017_combined_D10_e01_t0108,50,0.9,True,134.54213387687764,0.0034330541095826607,41
