embryo_id,sigma,threshold,success,length_um,mean_curvature,n_centerline_points
20251017_combined_A02_e01_t0064,10,0.4,True,3321.3505326686977,0.0005099168411974179,836.0
20251017_combined_A02_e01_t0064,10,0.5,True,3336.0433615342804,0.0005860244210502455,840.0
20251017_combined_A02_e01_t0064,10,0.6,True,3322.428130411336,0.0005387480482546631,835.0
20251017_combined_A02_e01_t0064,10,0.7,True,3311.80937739855,0.0004785137053447906,831.0
20251017_combined_A02_e01_t0064,10,0.8,True,3325.1902886600465,0.0005420058706078856,838.0
20251017_combined_A02_e01_t0064,10,0.9,True,3206.678547145413,0.0005166414607148189,799.0
20251017_combined_A02_e01_t0064,15,0.4,True,3306.4292763882945,0.0005026255446649741,832.0
20251017_combined_A02_e01_t0064,15,0.5,True,3313.1574344908936,0.0005066523897944919,833.0
20251017_combined_A02_e01_t0064,15,0.6,True,3277.5679472950674,0.0005074998161917958,819.0
20251017_combined_A02_e01_t0064,15,0.7,True,3236.273841591395,0.00047925983504243,808.0
20251017_combined_A02_e01_t0064,15,0.8,True,2997.2824049876044,0.0007344122920316934,744.0
20251017_combined_A02_e01_t0064,15,0.9,True,2708.5168148636717,0.0004815634849161909,666.0
20251017_combined_A02_e01_t0064,20,0.4,True,3282.399399202847,0.0005920144299934885,826.0
20251017_combined_A02_e01_t0064,20,0.5,True,3243.466237986689,0.0005110121212859091,810.0
20251017_combined_A02_e01_t0064,20,0.6,True,3129.737675369272,0.00048581640421140445,777.0
20251017_combined_A02_e01_t0064,20,0.7,True,2893.887248718627,0.0005713229127201207,715.0
20251017_combined_A02_e01_t0064,20,0.8,True,2623.3825233303805,0.0005474792600661704,641.0
20251017_combined_A02_e01_t0064,20,0.9,True,2112.433140392981,0.0005564158338356201,521.0
20251017_combined_A02_e01_t0064,25,0.4,True,3203.1986493736467,0.0005101476588775375,800.0
20251017_combined_A02_e01_t0064,25,0.5,True,3138.192192092214,0.0005809625913866735,782.0
20251017_combined_A02_e01_t0064,25,0.6,True,2865.3308186816867,0.0005692644701705083,705.0
20251017_combined_A02_e01_t0064,25,0.7,True,2624.5922110337387,0.000642500375230731,643.0
20251017_combined_A02_e01_t0064,25,0.8,True,2162.474011705034,0.0005547560197954813,531.0
20251017_combined_A02_e01_t0064,25,0.9,True,1533.2751232218664,0.0007769388021278486,385.0
20251017_combined_A02_e01_t0064,30,0.4,True,3133.766288257225,0.00042726142678161267,775.0
20251017_combined_A02_e01_t0064,30,0.5,True,2886.69465164607,0.0004245412422860079,709.0
20251017_combined_A02_e01_t0064,30,0.6,True,2625.1669169465586,0.00044653155408717047,640.0
20251017_combined_A02_e01_t0064,30,0.7,True,2215.553274222528,0.0004583216626115877,542.0
20251017_combined_A02_e01_t0064,30,0.8,True,1695.8239221489391,0.0007900672958086498,418.0
20251017_combined_A02_e01_t0064,30,0.9,True,1126.3912206762411,0.0007868697106989315,283.0
20251017_combined_A02_e01_t0064,35,0.4,True,2981.540201095245,0.00034154276825666295,730.0
20251017_combined_A02_e01_t0064,35,0.5,True,2714.109973705448,0.00034942385323457714,661.0
20251017_combined_A02_e01_t0064,35,0.6,True,2345.9652752186144,0.0003672759662835447,573.0
20251017_combined_A02_e01_t0064,35,0.7,True,1829.806424268892,0.0005439374994160524,450.0
20251017_combined_A02_e01_t0064,35,0.8,True,1276.5881253159932,0.000559389366778158,319.0
20251017_combined_A02_e01_t0064,35,0.9,True,902.8047024442603,0.001186362165910328,224.0
20251017_combined_A02_e01_t0064,40,0.4,True,2827.1011532599287,0.0002786956864983688,685.0
20251017_combined_A02_e01_t0064,40,0.5,True,2506.674382243481,0.000288212842229278,607.0
20251017_combined_A02_e01_t0064,40,0.6,True,2007.1809605962858,0.00037880334140492916,490.0
20251017_combined_A02_e01_t0064,40,0.7,True,1467.7808567506324,0.0004627565889322863,364.0
20251017_combined_A02_e01_t0064,40,0.8,True,1049.6465793248703,0.0007774088832704024,260.0
20251017_combined_A02_e01_t0064,40,0.9,True,718.7701280440871,0.000974581158010252,174.0
20251017_combined_A02_e01_t0064,45,0.4,True,2682.2983507725885,0.00021688064275512335,645.0
20251017_combined_A02_e01_t0064,45,0.5,True,2255.0620119217097,0.0002619923630474755,542.0
20251017_combined_A02_e01_t0064,45,0.6,True,1715.6783757125993,0.0004564187815645672,418.0
20251017_combined_A02_e01_t0064,45,0.7,True,1195.375703553011,0.0004545058745537943,295.0
20251017_combined_A02_e01_t0064,45,0.8,True,883.2092212927402,0.0009848321022303374,214.0
20251017_combined_A02_e01_t0064,45,0.9,True,529.0298239366471,0.000761769421830025,127.0
20251017_combined_A02_e01_t0064,50,0.4,True,2520.3444977884265,0.00018603682191361791,603.0
20251017_combined_A02_e01_t0064,50,0.5,True,1991.9177110000142,0.0002953528596616658,476.0
20251017_combined_A02_e01_t0064,50,0.6,True,1409.8138124626037,0.00019824715172124605,344.0
20251017_combined_A02_e01_t0064,50,0.7,True,1002.7606368218713,0.0007303169097775704,243.0
20251017_combined_A02_e01_t0064,50,0.8,True,723.5395320737346,0.0006772044240521127,172.0
20251017_combined_A02_e01_t0064,50,0.9,False,,,
