"timepoint_x","perturbation_x","m_severity_x","cell_group","log_abund_x","log_abund_se_x","log_abund_sd_x","timepoint_y","perturbation_y","m_severity_y","log_abund_y","log_abund_se_y","log_abund_sd_y","delta_log_abund","delta_log_abund_se","delta_p_value","delta_q_value","power","mdfc","timepoint","m_severity","x_perturbation","y_perturbation"
48,"ctrl-inj","not_severe","hindbrain (lhx9+, barhl1b+)",0.447158811389912,0.284112928514994,0.321425197742698,48,"lmx1ba;lmx1bb","not_severe",1.69840886071338,0.189849566865034,0.321425197742698,1.25125004932347,0.341706034755324,0.000343134786136683,0.00114378262045561,0.955604453682978,3.49470890688514,48,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
48,"ctrl-inj","not_severe","hindbrain and spinal cord, glycinergic and gabaergic neuron",3.34874755992599,0.0408324110630762,0.321425197742698,48,"lmx1ba;lmx1bb","not_severe",3.29587434958802,0.105149438690563,0.321425197742698,-0.0528732103379665,0.112799336213315,0.639916281930222,0.71101809103358,0.0755274556911987,1.06090638848945,48,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
48,"ctrl-inj","not_severe","hindbrain and spinal cord, glycinergic and gabaergic neuron (mecom+, chrm2a+)",-1.50517306656935,0.452014434581673,0.321425197742698,48,"lmx1ba;lmx1bb","not_severe",-0.298909162054842,0.48223128681635,0.321425197742698,1.20626390451451,0.660956929803102,0.0699222024390759,0.116537004065127,0.446407503703347,3.34140842555824,48,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
48,"ctrl-inj","not_severe","hindbrain, (lmx1ba+, lmx1bb+)",1.58619814637836,0.0881382010721291,0.321425197742698,48,"lmx1ba;lmx1bb","not_severe",1.64860152395991,0.219184435919377,0.321425197742698,0.0624033775815547,0.236241739405903,0.792014827337133,0.792014827337133,0.0580309763158407,1.09610909563572,48,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
48,"ctrl-inj","not_severe","hindbrain, gabaergic and glutamatergic neuron, eye",3.0919274017179,0.0988484571637064,0.321425197742698,48,"lmx1ba;lmx1bb","not_severe",2.9911742456814,0.159650726187416,0.321425197742698,-0.100753156036498,0.187774790256345,0.592338230891221,0.71101809103358,0.0835808823748826,1.11476458680259,48,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
48,"ctrl-inj","not_severe","hindbrain, glutamatergic neuron",3.79368377308738,0.0559658045589182,0.321425197742698,48,"lmx1ba;lmx1bb","not_severe",3.83882294352891,0.0760504941924087,0.321425197742698,0.0451391704415309,0.0944237732080043,0.633289005793504,0.71101809103358,0.0765655567125308,1.05145749550991,48,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
48,"ctrl-inj","not_severe","hindbrain, glutamatergic neuron (lhx9+)",2.56373124327821,0.0729270095777833,0.321425197742698,48,"lmx1ba;lmx1bb","not_severe",2.24295630442098,0.146865779064336,0.321425197742698,-0.320774938857228,0.163975320661777,0.0522344759033881,0.104468951806776,0.498558979252251,1.37822084655776,48,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
48,"ctrl-inj","not_severe","hindbrain, marginal zone",-0.465238228513115,0.179228217596852,0.321425197742698,48,"lmx1ba;lmx1bb","not_severe",0.596455293391282,0.191885077150536,0.321425197742698,1.0616935219044,0.262569299073619,8.27677476174391e-05,0.000496028564529132,0.981397861746207,2.89126327928581,48,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
48,"ctrl-inj","not_severe","hindbrain, marginal zone, (ebf3a+)",1.99731808857112,0.0791416973682506,0.321425197742698,48,"lmx1ba;lmx1bb","not_severe",2.5928926466732,0.126280268968079,0.321425197742698,0.595574558102081,0.149030582743872,9.92057129058263e-05,0.000496028564529132,0.979142913979645,1.81407294284457,48,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
48,"ctrl-inj","not_severe","lateral hindbrain, glutamatergic neuron",0.34394051497788,0.0950477748604057,0.321425197742698,48,"lmx1ba;lmx1bb","not_severe",1.13828398107857,0.31084467713431,0.321425197742698,0.794343466100695,0.32505152331384,0.015657705719177,0.0391442642979424,0.685735146749497,2.21299840334152,48,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
48,"ctrl-inj","severe","hindbrain (lhx9+, barhl1b+)",0.494954041432723,0.176749015110067,0.321425197742698,48,"lmx1ba;lmx1bb","severe",1.23223704354719,0.150593365252029,0.321425197742698,0.737283002114471,0.232203738127339,0.0018069247637588,0.00451731190939701,0.887853634388798,2.09024895021734,48,"severe","ctrl-inj","lmx1ba;lmx1bb"
48,"ctrl-inj","severe","hindbrain and spinal cord, glycinergic and gabaergic neuron",3.11751933171551,0.0508454129959957,0.321425197742698,48,"lmx1ba;lmx1bb","severe",3.23096433523657,0.0254283398891377,0.321425197742698,0.113445003521055,0.0568494194539476,0.0477367485929505,0.0681953551327864,0.514225958404444,1.12013638331777,48,"severe","ctrl-inj","lmx1ba;lmx1bb"
48,"ctrl-inj","severe","hindbrain and spinal cord, glycinergic and gabaergic neuron (mecom+, chrm2a+)",-1.48737072638962,0.163517217269791,0.321425197742698,48,"lmx1ba;lmx1bb","severe",-0.618940692265517,0.162479474981111,0.321425197742698,0.8684300341241,0.230515639672872,0.000233938042160617,0.00174734751118549,0.964647914152827,2.38316646099383,48,"severe","ctrl-inj","lmx1ba;lmx1bb"
