embryo_id,snip_id,status,arc_length_ratio,baseline_deviation_um,total_length_um
20251017_combined_C02_e01,20251017_combined_C02_e01_t0022,OUTLIER,1.0041898081781169,62.36650851889459,2791.731898859275
20251017_combined_C02_e01,20251017_combined_C02_e01_t0026,OUTLIER,1.0038237395598908,62.75742769020312,2825.1042114333
20251017_combined_C02_e01,20251017_combined_C02_e01_t0078,OUTLIER,1.0194439003835427,146.02501153040987,3409.0476080680714
20251017_combined_C02_e01,20251017_combined_C02_e01_t0079,OUTLIER,1.0094139469423171,110.041356677466,3391.130182054714
20251017_combined_C02_e01,20251017_combined_C02_e01_t0000,CLEAN,1.0023438165875298,27.05847678282234,2951.1309582470126
20251017_combined_C02_e01,20251017_combined_C02_e01_t0001,CLEAN,1.002231901263712,28.76415832244156,2948.9042403714207
20251017_combined_C02_e01,20251017_combined_C02_e01_t0002,CLEAN,1.0026161976004522,32.71793328333581,2928.5297550896044
20251017_combined_G09_e01,20251017_combined_G09_e01_t0007,OUTLIER,1.0154182210153777,52.080853841542265,2563.6264213163904
20251017_combined_G09_e01,20251017_combined_G09_e01_t0020,OUTLIER,1.0160269307257772,83.74048312840573,2696.002113189704
20251017_combined_G09_e01,20251017_combined_G09_e01_t0107,OUTLIER,1.050210848770072,110.28320999422554,3048.6948507166285
20251017_combined_G09_e01,20251017_combined_G09_e01_t0001,CLEAN,1.0093559518214468,27.181147786480665,2427.8519826294355
20251017_combined_G09_e01,20251017_combined_G09_e01_t0002,CLEAN,1.021848157318545,21.44806440089384,2482.3679735199203
20251017_combined_G09_e01,20251017_combined_G09_e01_t0006,CLEAN,1.008658963474924,15.552823521784328,2494.412019265325
20251017_combined_B11_e01,20251017_combined_B11_e01_t0004,OUTLIER,1.01881579044332,105.33810402079396,2316.1282376606728
20251017_combined_B11_e01,20251017_combined_B11_e01_t0077,OUTLIER,1.0091340029112057,91.35833221598958,3199.572836144032
20251017_combined_B11_e01,20251017_combined_B11_e01_t0016,CLEAN,1.0065415843441554,22.62860139299859,2518.701801538732
20251017_combined_B11_e01,20251017_combined_B11_e01_t0024,CLEAN,1.0054168275151991,37.40024120889039,2622.314428244939
20251017_combined_B11_e01,20251017_combined_B11_e01_t0025,CLEAN,1.005205229970044,16.68239048820847,2637.94503222308
