genotype,n_valid_nodes,mean_threshold,sd_threshold,mean_stability,mean_variance,sd_variance
cep290_wildtype,476,0.010334032861990671,0.0038470055954296883,0.001313019894985956,inf,
cep290_heterozygous,404,0.011786548403851212,0.00878387044296482,0.002521835082772433,inf,
cep290_homozygous,701,0.07175388111928625,0.030528911586707234,0.018459338009651178,inf,
