calibration,label,wt_baseline_%,het_mean_%,homo_mean_%
perc_90,90% band (5-95%),38.41483011937557,44.69691127585864,87.49941243633899
perc_95,95% band (2.5-97.5%),38.00160697887971,40.449083080662035,86.13600826020746
perc_99,99% band (0.5-99.5%),38.00160697887971,39.917706562443406,84.92160420783652
perc_999,99.9% band (0.05-99.95%),38.00160697887971,39.74226796595218,84.71417275040506
iqr_1.5,IQR ±1.5σ,6.782270759543486,27.593199928726246,85.4937329575063
iqr_2.0,IQR ±2.0σ,5.323937426210154,24.233398180766596,83.28332143150638
iqr_3.0,IQR ±3.0σ,2.4982782369146004,20.947977461135352,77.83421471959345
